"feature","id","fc","pval","qval","logFC"
"gene","MSTRG.27227",0.840524898204813,0.00242691223768232,0.00809525310244335,-0.250637538977874
"gene","MSTRG.5381",0.582499929491496,0.00243536803706323,0.00812113875980139,-0.77967021975096
"gene","MSTRG.13512",1.33808074294595,0.00243697335073056,0.00812417207817058,0.420165174225314
"gene","MSTRG.6267",2.49968775109041,0.00245051571674382,0.00816698702629404,1.32174789165212
"gene","MSTRG.3425",1.34661255527052,0.00245203726971543,0.00816972645812749,0.429334821108884
"gene","MSTRG.39409",1.19347824571232,0.0024588006116556,0.0081872589340988,0.25517226973851
"gene","MSTRG.583",0.75239528078635,0.00245909558431856,0.0081872589340988,-0.410437294946353
"gene","MSTRG.37466",1.48804639964851,0.00245940266662259,0.0081872589340988,0.573419512668486
"gene","MSTRG.18582",1.3928857984363,0.00246449435665763,0.00820187093104811,0.478076977405346
"gene","MSTRG.24476",0.805281654580918,0.00247039874546129,0.00821917850413018,-0.312434627687436
"gene","MSTRG.9179",1.2627756286743,0.00247647522519479,0.00823704861288086,0.336598322296623
"gene","MSTRG.28447",0.70879346478361,0.00247954161287711,0.00824489947470926,-0.496562792867657
"gene","MSTRG.25835",0.797283352601744,0.00248364600324069,0.00825619642067885,-0.326835549162193
"gene","MSTRG.26231",1.21148179984393,0.00249414977022688,0.00828875384653089,0.276772731267065
"gene","MSTRG.16896",0.739361464093434,0.00250078661222652,0.00830704241931165,-0.435648243423484
"gene","MSTRG.24110",1.23582606645753,0.00250107562479018,0.00830704241931165,0.305475708681736
"gene","MSTRG.31158",0.822506235936617,0.00250264148903734,0.00830987981489282,-0.281901478020361
"gene","MSTRG.29561",0.630859792485867,0.0025067261475693,0.00832107673431334,-0.664608690569387
"gene","MSTRG.27136",1.25622310580617,0.00251143774085505,0.00833434780838456,0.329092710293237
"gene","MSTRG.30088",1.45807079227,0.0025122904325745,0.00833452875966326,0.54406076711168
"gene","MSTRG.37181",1.19295185249144,0.00251291965771316,0.00833452875966326,0.254535817070398
"gene","MSTRG.32259",0.669833549020971,0.00251387085108645,0.00833531624048484,-0.578125458773961
"gene","MSTRG.26656",0.694618830920242,0.00251570378750787,0.0083390260659997,-0.525706572582277
"gene","MSTRG.35465",0.762323954094471,0.00251816812013994,0.00834482613705852,-0.391523885034494
"gene","MSTRG.8580",1.45411858919442,0.00252360025911846,0.00836045498609515,0.540144931613797
"gene","MSTRG.23477",1.40000482780635,0.00253983142753911,0.0084118410127061,0.485431802199004
"gene","MSTRG.5539",0.783790521841354,0.00254156668975947,0.00841520153189993,-0.35145996794769
"gene","MSTRG.33621",1.56230139613065,0.00254661887911767,0.00842953947571886,0.643672802236464
"gene","MSTRG.32452",1.21158961096553,0.00254788172968401,0.00843057554067605,0.27690111260151
"gene","MSTRG.29434",1.65288036732256,0.00254845411243998,0.00843057554067605,0.72498230858889
"gene","MSTRG.26859",1.53044589022219,0.00254909763950395,0.00843057554067605,0.61395203846955
"gene","MSTRG.24304",1.36968108031284,0.00255367847344667,0.0084433344317413,0.453840011862617
"gene","MSTRG.38489",1.26554674555756,0.0025570264868886,0.00845143478822266,0.339760797324975
"gene","MSTRG.31626",0.664232786857597,0.00255757582990057,0.00845143478822266,-0.590239158151181
"gene","MSTRG.14463",1.60658188836562,0.00255981437947073,0.00845643912969141,0.68399451764599
"gene","MSTRG.4009",1.23585642648702,0.00256550849356874,0.00847250505409617,0.305511150340699
"gene","MSTRG.18959",0.706788220550227,0.00256612865014028,0.00847250505409617,-0.500650098992435
"gene","MSTRG.15297",1.21823574905913,0.00257118298003078,0.00848679334109652,0.284793345959762
"gene","MSTRG.13443",1.7156032289076,0.00258249943477717,0.00852173732673858,0.778715936360413
"gene","MSTRG.37854",0.595308313716391,0.00258827368263725,0.00853837854967171,-0.748291052572981
"gene","MSTRG.24297",1.29922969409125,0.0026096788983524,0.00860656034311191,0.377656511025995
"gene","MSTRG.37761",0.755342587998726,0.00261075139583222,0.00860766651624187,-0.404796963157512
"gene","MSTRG.22006",0.847265622585391,0.00261541643431018,0.00862061335587759,-0.239113761326602
"gene","MSTRG.4620",0.802069837002285,0.00261893134103963,0.00862976303630384,-0.318200235875014
"gene","MSTRG.22895",1.27998485217426,0.0026212203136009,0.00863486906127823,0.356126736926538
"gene","MSTRG.26442",1.31239510593271,0.00262467221024298,0.00864380205054077,0.392202119008769
"gene","MSTRG.5839",1.23386640958879,0.00265214470269792,0.00873181444547684,0.303186202707091
"gene","MSTRG.26126",1.45066180125582,0.0026539121344723,0.00873517077406075,0.536711217184279
"gene","MSTRG.11787",0.689065411588211,0.00265479292068571,0.00873560770013179,-0.537287153329844
"gene","MSTRG.18243",0.742152715859144,0.00265844562803763,0.00874487397623648,-0.430212008118419
