"","gene_id","gene_name"
"6911","MSTRG.845","PSMB2"
"6915","MSTRG.846","C1orf216"
"6920","MSTRG.847","CLSPN"
"6926","MSTRG.849","."
"6929","MSTRG.849","AGO4"
"6938","MSTRG.850","."
"6940","MSTRG.850","AGO1"
"6971","MSTRG.857","."
"6972","MSTRG.857","ADPRS"
"6976","MSTRG.858","COL8A2"
"6983","MSTRG.860","TRAPPC3"
"6993","MSTRG.861","."
"6994","MSTRG.861","MAP7D1"
"7015","MSTRG.862","."
"7021","MSTRG.862","THRAP3"
"7026","MSTRG.864","."
"7041","MSTRG.864","SH3D21"
"7047","MSTRG.865","EVA1B"
"7054","MSTRG.866","."
"7056","MSTRG.866","STK40"
"7068","MSTRG.867","LSM10"
"7084","MSTRG.870","MRPS15"
"7088","MSTRG.871","."
"7137","MSTRG.874","."
"7138","MSTRG.874","ZC3H12A"
"7144","MSTRG.875","MEAF6"
"7158","MSTRG.877","SNIP1"
"7165","MSTRG.880","DNALI1"
"7172","MSTRG.881","GNL2"
"7175","MSTRG.881","."
"7187","MSTRG.883","C1orf109"
"7207","MSTRG.884","CDCA8"
"7216","MSTRG.885","."
"7236","MSTRG.887","MANEAL"
"7243","MSTRG.889","."
"7244","MSTRG.889","YRDC"
"7247","MSTRG.890","C1orf122"
"7249","MSTRG.891","MTF1"
"7256","MSTRG.893","INPP5B"
"7275","MSTRG.897","SF3A3"
"7285","MSTRG.900","."
"7286","MSTRG.900","FHL3"
"7294","MSTRG.901","UTP11"
"7329","MSTRG.903","RRAGC"
"7330","MSTRG.903","."
"7340","MSTRG.903","MYCBP"
"7356","MSTRG.903","RHBDL2"
"7363","MSTRG.910","AKIRIN1"
"7367","MSTRG.911","NDUFS5"
"7368","MSTRG.911","."
"7384","MSTRG.912","."
"7405","MSTRG.912","MACF1"
"7518","MSTRG.921","."
"7520","MSTRG.921","PABPC4"
"7569","MSTRG.923","HEYL"
"7584","MSTRG.925","PPIE"
"7597","MSTRG.928","BMP8B"
"7615","MSTRG.934","."
"7636","MSTRG.936","MYCL"
"7645","MSTRG.938","MFSD2A"
"7647","MSTRG.938","."
"7656","MSTRG.940","CAP1"
"7675","MSTRG.941","PPT1"
"7695","MSTRG.942","RLF"
"7700","MSTRG.944","ZMPSTE24-DT"
"7701","MSTRG.945","ZMPSTE24"
"7709","MSTRG.947","COL9A2"
"7710","MSTRG.947","."
"7730","MSTRG.949","."
"7731","MSTRG.949","SMAP2"
"7781","MSTRG.960","RIMS3"
"7789","MSTRG.963","."
"7794","MSTRG.963","NFYC"
"7817","MSTRG.966","KCNQ4"
"7827","MSTRG.968","CITED4"
"7834","MSTRG.969","CTPS1"
"7870","MSTRG.972","."
"7912","MSTRG.981","EDN2"
"7940","MSTRG.989","GUCA2B"
"7941","MSTRG.990","GUCA2A"
