"","feature","id","fc","pval","qval","logFC"
"4547","gene","MSTRG.19734",1.64012448063077,0.0104138629877144,0.0267457866660499,0.713805315314967
"4548","gene","MSTRG.28769",5.34403288077552,0.0104332345742976,0.0267896467367298,2.41792888445602
"4549","gene","MSTRG.35028",1.46117249961016,0.0104374977708956,0.0267947019055879,0.547126506438224
"4550","gene","MSTRG.6439",0.709597491383677,0.01045490357648,0.0268321571749337,-0.494927185550988
"4551","gene","MSTRG.31993",1.48351494048224,0.0104566832765134,0.0268321571749337,0.569019456276286
"4552","gene","MSTRG.12204",0.868773970816724,0.0104590480934894,0.0268323294454678,-0.202947215428527
"4553","gene","MSTRG.24177",1.22455951802458,0.0104641386390543,0.0268394928677522,0.292262895806473
"4554","gene","MSTRG.193",1.38320519611539,0.010497250934681,0.0269185104117709,0.468015193696523
"4555","gene","MSTRG.37112",1.20270631014184,0.0105023107595017,0.0269255730075655,0.266284392613615
"4556","gene","MSTRG.29428",1.14813994631153,0.0105114809074707,0.0269431681381568,0.199298502243905
"4557","gene","MSTRG.32368",0.841857023382693,0.01051415376466,0.026944105258657,-0.248352860612096
"4558","gene","MSTRG.17675",0.759182688335119,0.0105187163345168,0.0269498835793084,-0.39748099997016
"4559","gene","MSTRG.34268",0.55047226383632,0.0105236969677251,0.0269567302454692,-0.861258221077507
"4560","gene","MSTRG.28214",0.662820265166679,0.0105457218822971,0.0270015147482251,-0.593310382478079
"4561","gene","MSTRG.31105",1.23556125072441,0.0105458048267387,0.0270015147482251,0.305166531448582
"4562","gene","MSTRG.26370",1.20915335381058,0.0105561989720541,0.0270195770068522,0.273997229493247
"4563","gene","MSTRG.7032",0.738383280993004,0.0105574867170977,0.0270195770068522,-0.43755820807588
"4564","gene","MSTRG.2795",1.23661722343943,0.0105629176641282,0.0270275531292045,0.30639900451463
"4565","gene","MSTRG.24539",1.49791713622626,0.0105853814011403,0.0270790983576158,0.582957817079692
"4566","gene","MSTRG.6525",0.878530664092785,0.0105985081890498,0.0271067408304258,-0.186835452179573
"4567","gene","MSTRG.9813",0.690638060159176,0.010626160281675,0.0271715129777535,-0.533998253470629
"4568","gene","MSTRG.16570",1.4357257290431,0.0106382342372726,0.0271955443075809,0.5217801731569
"4569","gene","MSTRG.36951",1.29212428973849,0.0106402159566139,0.0271955443075809,0.369744849880934
"4570","gene","MSTRG.15529",0.816021871706921,0.0106632159792461,0.0272483667846031,-0.293320273842263
"4571","gene","MSTRG.28581",0.766129262090734,0.01066896409352,0.0272570909394283,-0.384340269258855
"4572","gene","MSTRG.22619",1.27450169619432,0.0106836425507912,0.0272843991187101,0.349933293398958
"4573","gene","MSTRG.8351",1.81867491274646,0.0106843258408855,0.0272843991187101,0.862887684999867
"4574","gene","MSTRG.19892",1.20639835097818,0.0106894932868902,0.0272864516562383,0.270706361705594
"4575","gene","MSTRG.29049",4.18361098032465,0.010689802733969,0.0272864516562383,2.06474870654437
"4576","gene","MSTRG.33775",4.60565926852991,0.0107378209028726,0.0274030315786158,2.20340768299676
"4577","gene","MSTRG.26313",0.713068598438837,0.01075865778687,0.0274487563167352,-0.487887221770808
"4578","gene","MSTRG.3340",0.756365843092225,0.0107604389808198,0.0274487563167352,-0.402843881142417
"4579","gene","MSTRG.28163",0.85181561235549,0.0107635748036816,0.0274507592394396,-0.231386922569635
"4580","gene","MSTRG.35141",1.1523049197646,0.0107683952519362,0.0274570567144347,0.204522529300825
"4581","gene","MSTRG.33288",1.24370001508453,0.0107708328486381,0.0274572770151486,0.314638544197975
"4582","gene","MSTRG.32018",1.27312173307308,0.0107932834161359,0.0275085036520374,0.348370373131023
"4583","gene","MSTRG.22492",1.36821769311032,0.0107984707948867,0.0275157193852688,0.452297791469723
"4584","gene","MSTRG.11750",0.636346237507337,0.0108181148097498,0.027559761070737,-0.652116141930463
"4585","gene","MSTRG.25515",1.27637360941662,0.0108284170173865,0.0275799899518079,0.352050684556109
"4586","gene","MSTRG.17011",1.14332764027529,0.0108551078520565,0.0276407228934245,0.193238891973963
"4587","gene","MSTRG.9014",0.796947460125028,0.0108569957109212,0.0276407228934245,-0.327443479223176
"4588","gene","MSTRG.37485",1.22270011776373,0.0108655386901835,0.0276515028005904,0.290070608553979
"4589","gene","MSTRG.5475",6.41867286073186,0.0108673020520778,0.0276515028005904,2.68227503330295
"4590","gene","MSTRG.15771",1.49115917354104,0.0108683334350668,0.0276515028005904,0.576434266086465
"4591","gene","MSTRG.34753",1.39968999572836,0.0108835216171718,0.027679094876122,0.48510733349211
"4592","gene","MSTRG.30083",1.52671640657792,0.0108839187935564,0.027679094876122,0.610432100889925
"4593","gene","MSTRG.27827",4.87606941125443,0.0108964946472035,0.0277050434334951,2.28571866298844
"4594","gene","MSTRG.36970",1.45497963052175,0.0109107901375001,0.0277353520299795,0.540998955778951
"4595","gene","MSTRG.35404",1.1745281896286,0.0109250003049044,0.0277654305899181,0.232081339616039
"4596","gene","MSTRG.31524",0.643036311982692,0.0109327655527094,0.0277791201315362,-0.637027886668217
"4597","gene","MSTRG.20028",0.663617017748619,0.010939043515533,0.0277890254893179,-0.591577211747987
"4598","gene","MSTRG.11405",1.35252066049525,0.0109633200354911,0.0278446392723933,0.435650632178807
"4599","gene","MSTRG.14822",1.45112095168285,0.0109661577607629,0.027845790461011,0.537167773795183
"4600","gene","MSTRG.39770",1.25378318859276,0.0109773406919781,0.0278492155067026,0.326287890575808
"4601","gene","MSTRG.16869",0.225712822623138,0.0109779571416764,0.0278492155067026,-2.14743971530604
"4602","gene","MSTRG.32242",0.781363551456922,0.0109787483761865,0.0278492155067026,-0.35593413570412
"4603","gene","MSTRG.1945",0.809667202025251,0.0109801751031198,0.0278492155067026,-0.304599056825288
"4604","gene","MSTRG.8575",1.1536707388491,0.0109812780278822,0.0278492155067026,0.206231533160445
"4605","gene","MSTRG.11756",0.68557837994807,0.0109818151574212,0.0278492155067026,-0.544606480818385
"4606","gene","MSTRG.31742",1.5258169865681,0.010990830471014,0.0278660265394055,0.609581929141892
"4607","gene","MSTRG.38900",1.34810639574046,0.0110093546961572,0.0279069338271594,0.430934361912809
"4608","gene","MSTRG.35740",0.724616813286389,0.0110178518932067,0.0279224119810911,-0.464709813849846
"4609","gene","MSTRG.20031",0.685043121116312,0.0110666368387511,0.0280399620314461,-0.545733291248289
"4610","gene","MSTRG.7168",1.39809775516055,0.0110787674328563,0.0280646086943375,0.4834652376481
"4611","gene","MSTRG.32396",2.55283158124604,0.0111098012570725,0.028137119731098,1.35209836151473
"4612","gene","MSTRG.19051",1.50871656856169,0.0111156612992179,0.0281458570364846,0.593321802857922
"4613","gene","MSTRG.22676",0.682440689965061,0.0111302722402826,0.0281767438157426,-0.551224426160955
"4614","gene","MSTRG.5060",2.16208850331894,0.0111469761339282,0.0282129144542726,1.11242557981909
"4615","gene","MSTRG.25896",0.733840694416109,0.0111518486397191,0.0282191307507344,-0.44646118484378
"4616","gene","MSTRG.7856",0.676179843864253,0.0111552697796483,0.0282216725491189,-0.564521083078565
"4617","gene","MSTRG.20280",1.13989071187155,0.0111631356652289,0.0282354555552399,0.18889551123295
"4618","gene","MSTRG.25566",0.790971444721701,0.0111741016233051,0.0282570720565087,-0.33830248274557
"4619","gene","MSTRG.39640",1.3111773368145,0.0111784582713577,0.028261969190932,0.390862823348134
"4620","gene","MSTRG.31209",1.12885324729658,0.0111890095298924,0.028282522357161,0.174857945669112
"4621","gene","MSTRG.2389",1.44934547284071,0.0112060816252326,0.0283141152613624,0.535401523498999
"4622","gene","MSTRG.29052",0.401265807532853,0.0112065168734615,0.0283141152613624,-1.31736986776133
"4623","gene","MSTRG.2453",1.55461333670186,0.0112087818850213,0.0283141152613624,0.636555797983156
"4624","gene","MSTRG.14375",1.33165012806359,0.0112308335325977,0.0283636838221617,0.413215084803457
"4625","gene","MSTRG.17887",1.25979506460089,0.011258014095587,0.028426181320706,0.333189064415137
"4626","gene","MSTRG.19821",1.18822869385775,0.0112636292724786,0.0284342115529626,0.248812532890961
"4627","gene","MSTRG.10634",0.725770797047428,0.0112842628629927,0.0284801430114606,-0.462414086847269
"4628","gene","MSTRG.31222",0.808621217596908,0.0112895864587794,0.0284874223564447,-0.306464035576249
"4629","gene","MSTRG.29639",0.765786912278698,0.0112929547210443,0.0284897656583183,-0.384985090943696
"4630","gene","MSTRG.33766",1.16044456536505,0.0113497943282712,0.0286269758456914,0.214677606540109
"4631","gene","MSTRG.3001",0.702360638379904,0.0113568109361107,0.0286384880397109,-0.509716099110481
"4632","gene","MSTRG.32497",0.793756256412453,0.0113885921536421,0.0287124307362332,-0.333232036701468
"4633","gene","MSTRG.36452",1.23004797876928,0.0114111690851147,0.0287631410697108,0.298714589859255
"4634","gene","MSTRG.18903",1.30176293764394,0.011415700339277,0.0287683531640217,0.380466745104964
"4635","gene","MSTRG.3853",0.875968153813971,0.0114249574350589,0.0287854698870804,-0.191049673884895
"4636","gene","MSTRG.22672",1.33275965727859,0.0114501827769249,0.0288428029484316,0.414416636004427
"4637","gene","MSTRG.23195",0.728247621831396,0.0114636443254659,0.0288704848895386,-0.457499009785252
"4638","gene","MSTRG.25278",1.4894369522354,0.0114735596624517,0.0288892259029993,0.574767055697257
"4639","gene","MSTRG.14486",0.731684002607492,0.0114832662081168,0.0289074332352636,-0.450707378482755
"4640","gene","MSTRG.40434",1.26443059857336,0.0114920314765172,0.0289232637031828,0.33848785325912
