"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CALU",2.71660679900727e-18,0.292713983115643,0.602,0.221,1.6804929658659e-13
"RPN2",2.7766077975894e-18,0.656820802224275,0.88,0.532,1.7176095835888e-13
"SPTLC1",2.94162348085373e-18,0.265559596048772,0.571,0.191,1.81968828525611e-13
"MRPL19",3.12823926508347e-18,0.334270195883558,0.714,0.275,1.93512880938063e-13
"MRPL12",3.26239969610304e-18,0.609587872586231,0.812,0.41,2.01812045200934e-13
"GUCA2A",3.45981058553406e-18,0.577277061411777,0.263,0.054,2.14023882821137e-13
"PHPT1",3.58746094759955e-18,0.561235251539992,0.902,0.496,2.21920334218508e-13
"UFC1",3.87483422835952e-18,0.548966551000462,0.962,0.657,2.3969724536632e-13
"MDH2",4.26559904709345e-18,0.594550186466873,0.962,0.721,2.63869957053201e-13
"EIF4E2",4.86499940020831e-18,0.436114659368942,0.895,0.421,3.00948862896886e-13
"AREG",5.18456575977164e-18,0.666201519409101,0.316,0.077,3.20717237899474e-13
"LRRC59",5.76762867301727e-18,0.510932285798346,0.857,0.431,3.56785509712849e-13
"ALDH9A1",5.78246643780612e-18,0.337895678868883,0.647,0.237,3.57703373842686e-13
"GAS6",5.88011438491418e-18,0.259738978214367,0.323,0.079,3.63743875850791e-13
"DECR1",5.96036858922749e-18,0.470974935731877,0.872,0.441,3.68708400929613e-13
"SLC25A1",9.59340217717704e-18,0.260887640614171,0.639,0.228,5.93447858680172e-13
"RNF114",9.97448222221688e-18,0.319387717612908,0.782,0.321,6.17021470266336e-13
"SLC50A1",1.01922559429709e-17,0.501705058930485,0.714,0.311,6.30492952632181e-13
"BOLA3",1.18094044313321e-17,0.486638688267157,0.737,0.32,7.30529758122202e-13
"TMEM258",1.24931639526765e-17,0.52414549140497,0.97,0.845,7.72827122112566e-13
"NDUFS6",1.49419283952626e-17,0.580606964397887,0.947,0.667,9.24307690530943e-13
"UCHL3",2.23424779841685e-17,0.300491298552376,0.774,0.303,1.38210568810066e-12
"AP2B1",2.35024369661186e-17,0.309721510961919,0.571,0.203,1.4538607507241e-12
"PNP",2.53051561435856e-17,0.319165089318544,0.579,0.211,1.56537695904221e-12
"SF3B5",3.31770254302413e-17,0.58129472506158,0.962,0.744,2.05233079311473e-12
"ARL1",3.75090950148483e-17,0.463219060091522,0.774,0.37,2.32031261761851e-12
"TM9SF2",4.4612735219584e-17,0.441590793665069,0.744,0.339,2.75974380068347e-12
"HMGCL",4.58087527571508e-17,0.274488696095627,0.541,0.182,2.83372944555735e-12
"TCEAL8",5.00849960936047e-17,0.415831202366089,0.842,0.404,3.09825785835038e-12
"POLR2H",5.59557903508841e-17,0.454088245700052,0.805,0.365,3.46142519110569e-12
"COQ4",5.83809108919575e-17,0.266680932510216,0.624,0.232,3.61144314777649e-12
"LMAN2",6.51813929200251e-17,0.517727433116177,0.887,0.59,4.03212096603275e-12
"OSTC",7.53327664347492e-17,0.635509008562642,0.917,0.61,4.66008493165358e-12
"TUBA1C",7.60897549761606e-17,0.588207056472218,0.812,0.386,4.70691224282529e-12
"WDR18",7.98847395139748e-17,0.327661441509891,0.714,0.282,4.94166998633448e-12
"DCXR",8.01404209147095e-17,0.562209190000029,0.835,0.474,4.95748643778393e-12
"YWHAE",8.50576659600457e-17,0.530503894792801,1,0.739,5.26166721628843e-12
"CD59",9.14954146066419e-17,0.437027919193483,0.594,0.222,5.65990634756687e-12
"RPL31",9.15011615172576e-17,0.448964811945197,1,0.997,5.66026185145756e-12
"HMGB3",1.10465926015011e-16,0.616635362181821,0.699,0.304,6.83342218328857e-12
"YWHAZ",1.45249903143286e-16,0.654515256946666,0.962,0.746,8.98515900844365e-12
"CENPX",1.46826519706488e-16,0.661695270688822,0.759,0.406,9.08268850904334e-12
"ID2",1.69654433317348e-16,0.438140650406563,0.88,0.468,1.04948232450111e-11
"COX7C",1.72792328327556e-16,0.432423626884155,1,0.987,1.06889334303426e-11
"NARS1",1.81235425648339e-16,0.357647420144809,0.729,0.297,1.12112234306063e-11
"PAIP1",1.91141440746864e-16,0.398158623983698,0.586,0.23,1.1824009524601e-11
"MMP24OS",1.99590141312951e-16,0.313039557020627,0.677,0.263,1.23466461416192e-11
"APRT",2.18840610331637e-16,0.517680118450888,0.947,0.719,1.35374801551151e-11
"FKBP2",2.20770691323176e-16,0.265363269040538,0.534,0.192,1.36568749652517e-11
"SLC25A39",2.24288756505589e-16,0.475263334702616,0.872,0.467,1.38745024774358e-11
"SLC25A4",2.76984545807949e-16,0.298675016518208,0.647,0.255,1.71342640036797e-11
"RPS12",2.7955397079378e-16,0.409244780117184,1,0.997,1.72932086333032e-11
"MT-ND4L",2.86797538145142e-16,0.488488518166691,0.872,0.487,1.77412957096585e-11
"INSIG1",3.15639573021174e-16,0.288895723431983,0.519,0.179,1.95254639870898e-11
"MTX1",3.69622214764598e-16,0.293955534944888,0.549,0.201,2.28648302053381e-11
"RPS24",3.71038177576827e-16,0.444895145796199,1,0.999,2.29524216649025e-11
"SEC61A1",3.8622646636972e-16,0.382961676459241,0.684,0.295,2.38919692096309e-11
"HINT1",4.06065824387758e-16,0.501261898781885,1,0.949,2.51192318966267e-11
"FBXW5",4.17655642933834e-16,0.368898915477197,0.714,0.317,2.5836178071887e-11
"GGCT",4.19724348031792e-16,0.495649887859093,0.782,0.374,2.59641481692466e-11
"NDUFS2",5.63054899192634e-16,0.489848191764179,0.805,0.424,3.48305760640563e-11
"ALDOA",6.16168429948836e-16,0.316139661550298,0.609,0.245,3.8116179076635e-11
"PSME2",6.47301634260085e-16,0.61324031893609,0.97,0.727,4.00420790953288e-11
"NDUFA8",6.6453705756582e-16,0.403391865679991,0.842,0.406,4.11082623810216e-11
"TMEM179B",7.0451813529987e-16,0.405806812466439,0.767,0.375,4.358149184965e-11
"JAGN1",7.22317809926372e-16,0.342602362127162,0.692,0.298,4.46825797220454e-11
"MT-RNR1",7.32866264424863e-16,0.668718796316971,0.962,0.986,4.5335107117322e-11
"SRPRB",7.64107217902462e-16,0.296735088700695,0.654,0.262,4.72676724994463e-11
"ADH5",7.82735991266854e-16,0.436940806176112,0.805,0.386,4.84200484197676e-11
"FIS1",8.33063979109652e-16,0.460864273119441,0.872,0.487,5.15333377477231e-11
"AIG1",9.91104075171659e-16,0.252684246862429,0.496,0.171,6.13096980901188e-11
"IFT20",9.98031711631829e-16,0.250131834902426,0.647,0.257,6.17382416815449e-11
"NEAT1",1.14202805820884e-15,0.676205291211836,0.932,0.723,7.06458556807986e-11
"NDUFAB1",1.15400555298676e-15,0.522914200946917,0.962,0.646,7.13867835077612e-11
"PDCD4",1.1718243048871e-15,0.290364824939133,0.609,0.223,7.2489051500316e-11
"KIF5B",1.17742311857187e-15,0.507886117192162,0.865,0.462,7.28353941148558e-11
"FABP5",1.20688371015966e-15,0.825556983948012,0.902,0.559,7.46578263104766e-11
"ARF1",1.36245465448665e-15,0.571004126046737,0.985,0.768,8.42814449265439e-11
"MRPL14",1.75128892744766e-15,0.457998912413127,0.88,0.467,1.08334733051913e-10
"MRPL3",1.76097180825015e-15,0.387688070647074,0.759,0.36,1.08933716058354e-10
"LARP1B",1.77770306666363e-15,0.25829939645567,0.368,0.11,1.09968711703812e-10
"UGT2B17",2.05816870724662e-15,0.555587501725127,0.143,0.018,1.27318316230276e-10
"HDAC2",2.11045203738192e-15,0.440879220537969,0.797,0.376,1.30552563032445e-10
"VDAC1",2.21108615650044e-15,0.597630268806911,0.97,0.7,1.36777789641117e-10
"MIDN",2.25567693741583e-15,0.250942730130906,0.677,0.264,1.39536175348543e-10
"SAT1",2.37845958548543e-15,0.611136133846543,0.955,0.789,1.47131509958129e-10
"ALG5",2.38816435772712e-15,0.399763059471563,0.797,0.38,1.47731847169e-10
"PYCARD",2.40196474322273e-15,0.353071406648385,0.797,0.373,1.48585539015758e-10
"CFDP1",2.78086523091915e-15,0.393118814567273,0.752,0.327,1.72024323184658e-10
"NDUFA10",2.78227962497452e-15,0.475528733258082,0.827,0.446,1.72111817600924e-10
"GPR160",2.93918316615491e-15,0.310992860864797,0.699,0.288,1.81817870658342e-10
"DAD1",2.95738828456655e-15,0.462756527830212,0.925,0.717,1.82944039283287e-10
"SDF2L1",2.97479380062764e-15,0.493140341692248,0.857,0.445,1.84020744506826e-10
"NPM3",3.13016124024925e-15,0.310465549682186,0.639,0.253,1.93631774321818e-10
"DNAJC3",3.16114415016999e-15,0.2612884458801,0.624,0.248,1.95548377129515e-10
"RAB10",3.19618967715453e-15,0.384560758290583,0.789,0.381,1.97716293428779e-10
"FDFT1",3.24723082235232e-15,0.571176694435115,0.842,0.486,2.00873698670714e-10
"ATP6V0B",3.36044795977535e-15,0.536170727444176,0.91,0.648,2.07877310791703e-10
"POLR2I",3.73132578307885e-15,0.365098820666932,0.857,0.426,2.30819812941258e-10
"COPB2",4.35817707296498e-15,0.333733611459353,0.699,0.294,2.69596833733614e-10
"MICOS10",4.62927258820259e-15,0.525250469476734,0.94,0.623,2.86366802306212e-10
"RPL22L1",5.80992593439691e-15,1.05677247512413,0.925,0.727,3.59402018301793e-10
